PNAME,LAT,LON,PLPFGNCT,ORISPL,Y2009,Y2007,Y2005,Y2004,Y2000,Y1999,Y1998,Y1997,Y1996
Scherer,33.0583,-83.8072,COAL,6257,22977.98,25053.667,24093.772,23261.025,21213.74,21235.429,17997.73,15081.765,15754.521
Bowen,34.1256,-84.9192,COAL,703,21538.305,22972.903,22337.864,20993.144,21681.93,20387.721,20031.103,21279.9,21081.179
Vogtle,33.1419,-81.7565,NUCLEAR,649,19285.924,18296.893,17813.029,19330.957,19576.61,18448.477,18605.559,18371.915,17177.43
Edwin I Hatch,31.9342,-82.3447,NUCLEAR,6051,12396.655,14248.105,13721.23,14416.748,12896.325,13029.645,12774.842,12042.579,12747.571
Wansley,33.4124,-85.0345,COAL,6052,7232.538,12903.138,12928.514,12332.814,9730.125,10504.572,9890.606,9221.288,8964.084
McIntosh Combined Cycle Facility,32.3478,-81.1828,GAS,56150,7089.308,5523.509,2554.48193,0,0,0,0,0,0
Harllee Branch,33.1942,-83.2994,COAL,709,6433.027,10373.819,9797.443,7549.31,8362.64,7323.679,8171.255,7933.9,7160.043
Yates,33.4622,-84.8986,COAL,728,4530.191,7560.314,6862.634,5777.174,6199.95,5407.104,4811.315,4034.02,3328.882
Wansley Combined Cycle,33.4124,-85.0344,GAS,55965,3850.501,2530.451,2277.89,1621.72,0,0,0,0,0
Hammond,34.2533,-85.3456,COAL,708,3414.849,4825.608997,4361.408,3854.404,5015.497,3847.285,3124.459,3277.839,2583.324
Effingham County Power Project,32.2792,-81.2842,GAS,55406,2431.414,1160.068,875.54,630.283,0,0,0,0,0
Chattahoochee Energy Facility,33.407,-85.0387,GAS,7917,2206.639,1507.405,896.703,878.32,0,0,0,0,0
KGen Murray I and II LLC,34.7094,-84.9182,GAS,55382,2196.014,1802.001,1230.597,1308.086,0,0,0,0,0
Jack McDonough,33.8244,-84.475,COAL,710,2072.624,3772.754003,3643.718,3258.081,3642.019,3281.478,3640.113,3482.177,2765.184
Wansley Unit 9,33.4082,-85.0399,GAS,7946,1096.6,884.213,638.132,738.223,0,0,0,0,0
Carters,34.6121,-84.6733,HYDRO,6130,1039.457,524.564,549.578,478.311,369.169,413.902,364.331,336.765,347.297
Kraft,32.1486,-81.1458,COAL,733,997.116,1282.318,1179.759,1136.315,1430.411,1384.099,1148.695,758.088,512.29
International Paper Savanna Mill,32.1047,-81.1222,BIOMASS,50398,619.163,878.517009,830.94635,806.86783,1056.9926,1068.1128,902.1869,0,0
Savannah River Mill,32.3683,-81.3413,OIL,10361,586.354256,637.142265,640.87152,626.31277,671.5748,630.144,542.3185,0,0
Rayonier Jesup Mill,31.6593,-81.8439,BIOMASS,10560,496.433809,446.468439,499.69859,465.44195,483.7574,485.2593,455.1155,0,0
Richard B Russell,34.0256,-82.5953,HYDRO,6132,492.422,492.772,577.373,339.085,248.281,334.926,627.303,407.476,766.329
Walter F George,31.6256,-85.0639,HYDRO,761,488.98,208.629,446.163,370.623,222.253,247.541,551.852,525.541,510.675
Georgia Pacific Cedar Springs,31.166,-85.0951,BIOMASS,54101,486.199,547.245201,604.83025,648.02165,619.3088,627.6079,621.3266,0,0
Brunswick Cellulose,31.1722,-81.5189,BIOMASS,10605,461.117,479.814857,470.73974,500.04813,467.5442,493.236,485.4422,0,0
International Paper Augusta Mill,33.3217,-81.9564,BIOMASS,54358,404.061,452.449399,465.53876,450.82121,498.8237,516.6422,497.1713,0,0
Inland Paperboard Packaging Rome,34.2528,-85.3275,BIOMASS,10426,401.832737,433.492865,370.04659,310.17375,411.7647,438.3559,403.9031,0,0
Hartwell Lake,34.3564,-82.8219,HYDRO,754,300.234,251.362,608.456,519.913,263.153,339.155,631.871,474.888,545.896
Port Wentworth Mill,32.1561,-81.1586,BIOMASS,50804,283.555465,292.844444,272.53286,225.04893,0,0,0,0,0
Riverwood International Macon Mill,32.7714,-83.6281,GAS,54464,266.71475,271.212918,245.37652,259.69573,238.2602,213.9042,223.8635,0,0
Oliver Dam,32.5163,-84.9969,HYDRO,720,223.167,109.541,259.16695,205.15594,123.819,124.645,249.308,252.452,233.689
Flint River Operations,32.2544,-84.0667,BIOMASS,50465,212.201,294.834598,261.75362,266.23114,266.0943,276.2486,258.5829,0,0
Tallulah Falls,34.731,-83.3757,HYDRO,723,201.027,60.208001,186.11495,146.39895,68.057,99.757,171.362,178.939,185.538
Dahlberg,34.0386,-83.3972,GAS,7709,195.043,249.986,91.319,78.353,556.764,0,0,0,0
Allatoona,34.1637,-84.7282,HYDRO,760,151.634,50.564,169.295,155.917,82.268,80.476,185.197,170.895,182.002
Dublin Mill,32.5036,-82.8443,COAL,54004,145.144188,207.596947,237.76317,192.6,382.1796,387.4352,421.2223,0,0
North Highlands,32.4992,-84.9967,HYDRO,719,138.081,67.196999,160.64394,124.06694,69.709,65.548,151.355,150.88,144.14
Sinclair Dam,33.1403,-83.2028,HYDRO,722,137.91,41.836999,157.15994,115.29795,61.668,61.948,164.777,148.353,127.911
